numero_precatorio;numero_processo;beneficiario;cpf_cnpj_beneficiario;valor_original;valor_atualizado;data_requisicao;data_atualizacao;tipo;status;entidade_devedora;id_entidade;regime;ordem_cronologica;observacoes;timestamp_extracao
2024.07474-4;;Não informado;;187802.34;236509.67;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.07501-5;;Não informado;;117554.33;145538.63;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.07814-6;;Não informado;;9022.57;11362.61;;;alimentar;cancelado;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.08017-5;;Não informado;;154686.84;224161.10;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.08364-6;;Não informado;;245091.79;346786.27;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.08407-3;;Não informado;;156779.96;204280.13;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.08410-3;;Não informado;;321628.46;387999.32;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.08695-5;;Não informado;;323286.92;393525.40;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.08411-1;;Não informado;;109134.25;137438.68;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.08769-2;;Não informado;;228606.36;305486.55;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.08483-9;;Não informado;;279190.81;370151.81;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.08615-7;;Não informado;;102382.65;168634.34;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.08617-3;;Não informado;;345596.47;424626.79;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.08618-1;;Não informado;;345596.47;424626.79;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.08858-3;;Não informado;;97731.79;191534.30;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.08899-0;;Não informado;;197160.73;248295.19;;;alimentar;cancelado;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.08934-2;;Não informado;;185326.12;229443.77;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.09019-7;;Não informado;;110841.19;133714.25;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.08990-3;;Não informado;;216401.51;360885.18;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.08995-4;;Não informado;;131532.03;199031.58;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.09024-3;;Não informado;;113411.66;186932.27;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.09148-7;;Não informado;;270275.36;340372.41;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.09164-9;;Não informado;;295439.31;661729.00;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.09223-8;;Não informado;;364587.67;467468.10;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.09224-6;;Não informado;;138030.04;185884.32;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.09265-3;;Não informado;;124894.37;194755.72;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.09267-0;;Não informado;;94980.86;122770.20;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.09333-1;;Não informado;;170407.75;225927.00;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.09592-0;;Não informado;;170026.61;206967.21;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.09598-9;;Não informado;;154378.67;191129.15;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.09702-7;;Não informado;;155194.31;216986.68;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.09774-4;;Não informado;;181458.32;236435.38;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10029-0;;Não informado;;171036.23;319878.65;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10057-5;;Não informado;;89745.91;113021.89;;;alimentar;cancelado;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10067-2;;Não informado;;139718.30;195348.73;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10295-0;;Não informado;;230547.37;288179.16;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10296-9;;Não informado;;88663.95;121083.99;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10079-6;;Não informado;;102116.51;134168.67;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10304-3;;Não informado;;458200.84;567277.44;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10220-9;;Não informado;;98867.76;125638.04;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10222-5;;Não informado;;142402.33;177999.80;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10285-3;;Não informado;;161115.74;199470.01;;;alimentar;cancelado;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10286-1;;Não informado;;311442.64;433003.06;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10542-9;;Não informado;;114380.65;161522.79;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10345-0;;Não informado;;480315.33;594656.37;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10388-4;;Não informado;;87458.02;108277.77;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10389-2;;Não informado;;102618.52;129233.07;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10392-2;;Não informado;;525791.77;674161.25;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10394-9;;Não informado;;271902.25;325046.62;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10396-5;;Não informado;;218571.89;280249.16;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10399-0;;Não informado;;115838.12;222477.31;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10401-5;;Não informado;;110322.22;138934.75;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10403-1;;Não informado;;185030.22;235130.59;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10404-0;;Não informado;;234186.28;292727.72;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10407-4;;Não informado;;109478.42;140371.36;;;alimentar;cancelado;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10411-2;;Não informado;;331448.34;408378.12;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10416-3;;Não informado;;198179.70;321046.91;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10439-2;;Não informado;;89750.58;134424.42;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10460-0;;Não informado;;153141.89;231632.44;;;alimentar;cancelado;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10461-9;;Não informado;;115481.98;179758.96;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10463-5;;Não informado;;434487.47;552133.02;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10466-0;;Não informado;;782760.02;926659.30;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10473-2;;Não informado;;145296.77;184638.57;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10475-9;;Não informado;;206461.69;240271.57;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10481-3;;Não informado;;187974.70;238872.34;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10482-1;;Não informado;;39240.16;66494.29;;;alimentar;cancelado;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10677-8;;Não informado;;333601.81;413017.10;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10494-5;;Não informado;;337965.96;451623.72;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10511-9;;Não informado;;368694.78;496519.29;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10547-0;;Não informado;;123600.18;147758.32;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10548-8;;Não informado;;177143.45;219313.17;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10578-0;;Não informado;;114938.61;192143.38;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10763-4;;Não informado;;300810.65;496149.73;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10773-1;;Não informado;;205923.54;270558.47;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10802-9;;Não informado;;130619.24;163271.19;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10814-2;;Não informado;;171260.92;241484.78;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10822-3;;Não informado;;99047.52;130136.39;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10823-1;;Não informado;;162734.02;265141.70;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10827-4;;Não informado;;825845.19;1164423.64;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10866-5;;Não informado;;147865.52;243536.45;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10867-3;;Não informado;;126108.09;154946.24;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.10929-7;;Não informado;;133344.16;213591.71;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.11006-6;;Não informado;;211523.59;287078.10;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.11158-5;;Não informado;;403665.03;495974.34;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.11159-3;;Não informado;;147302.76;168707.64;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.11161-5;;Não informado;;277868.36;368398.51;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.11177-1;;Não informado;;253318.07;294801.09;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.11192-5;;Não informado;;282449.24;337655.07;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.11195-0;;Não informado;;133906.85;168636.15;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.11268-9;;Não informado;;315055.41;387101.64;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.11301-4;;Não informado;;211557.36;290918.61;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.11308-1;;Não informado;;136713.10;181254.54;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.11403-7;;Não informado;;300627.85;410552.64;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.11414-2;;Não informado;;209731.02;398874.39;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.11524-6;;Não informado;;383366.20;458296.64;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.11542-4;;Não informado;;112268.67;183669.94;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.11617-0;;Não informado;;137634.93;183921.48;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.11640-4;;Não informado;;235590.21;302069.75;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.11650-1;;Não informado;;186092.34;236480.30;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.11693-5;;Não informado;;392153.70;684069.07;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.11701-0;;Não informado;;97676.56;227229.54;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.12327-3;;Não informado;;200895.05;357353.31;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.11706-0;;Não informado;;191198.08;251211.02;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.11724-9;;Não informado;;97869.56;136837.44;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.11725-7;;Não informado;;176280.61;271080.59;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.11726-5;;Não informado;;105637.49;132044.55;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.11776-1;;Não informado;;127155.99;161585.84;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.11782-6;;Não informado;;87390.19;121499.81;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.11879-2;;Não informado;;115467.60;144331.97;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.11890-3;;Não informado;;199170.50;231786.39;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.11894-6;;Não informado;;202820.11;251102.28;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.11994-2;;Não informado;;94130.01;155048.55;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.11995-0;;Não informado;;219136.37;278471.61;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.12037-1;;Não informado;;172840.93;206623.38;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.12038-0;;Não informado;;124562.48;146230.14;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.12134-3;;Não informado;;141335.09;215527.20;;;alimentar;cancelado;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.12135-1;;Não informado;;202911.10;234237.03;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.12253-6;;Não informado;;374744.65;476213.73;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.12254-4;;Não informado;;242631.69;308328.73;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.12255-2;;Não informado;;414728.91;657319.92;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.12256-0;;Não informado;;111718.54;166607.47;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.12396-6;;Não informado;;342325.69;508452.02;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.12397-4;;Não informado;;119387.70;150351.40;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.12398-2;;Não informado;;169804.06;234817.66;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.12441-5;;Não informado;;789393.02;918662.95;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.12447-4;;Não informado;;104982.03;133407.87;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.12480-6;;Não informado;;87370.47;122158.02;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.12481-4;;Não informado;;117623.91;175119.90;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.12486-5;;Não informado;;1567030.81;1839615.91;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.12489-0;;Não informado;;219960.00;304177.03;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.12622-1;;Não informado;;154041.91;214166.62;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.12648-5;;Não informado;;2262.82;3000.05;;;alimentar;cancelado;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.12684-1;;Não informado;;320589.68;393901.49;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.12696-5;;Não informado;;441918.29;650116.49;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.12707-4;;Não informado;;183871.27;301012.11;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.12718-0;;Não informado;;174368.89;257077.46;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.12722-8;;Não informado;;273013.62;377543.50;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.12723-6;;Não informado;;102737.32;134984.33;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.12724-4;;Não informado;;137430.58;154921.83;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.12725-2;;Não informado;;145889.84;180619.51;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
2024.12776-7;;Não informado;;120112.80;206470.80;;;alimentar;pendente;INSS - INSTITUTO NACIONAL DO SEGURO SOCIAL;86;geral;;;2025-11-18
